Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|Q99836|MYD88_HUMAN	Q99836	MYD88_HUMAN	MYD88	296	23.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myeloid differentiation primary response protein MyD88	1.0000	0.9990	5	23	23	23	5	5	4	2	5	2	5	5	4	2	5	2	5	5	4	2	5	2	162052.47	125053.375	124329.36	127459.41	104852.22	112269.86	162052.47	125053.375	124329.36	127459.41	104852.22	112269.86	162052.47	125053.375	124329.36	127459.41	104852.22	112269.86	77113.516	68299.82	71272.45	57398.77	56323.664	55310.81	77113.516	68299.82	71272.45	57398.77	56323.664	55310.81	77113.516	68299.82	71272.45	57398.77	56323.664	55310.81	
sp|Q99848|EBP2_HUMAN	Q99848	EBP2_HUMAN	EBNA1BP2	306	36.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable rRNA-processing protein EBP2	1.0000	0.9990	11	122	122	122	19	18	22	20	22	21	19	18	22	20	22	21	19	18	22	20	22	21	1197259.8	1195380.4	1207026.1	1137626.6	1108591.1	1088959.0	1197259.8	1195380.4	1207026.1	1137626.6	1108591.1	1088959.0	1197259.8	1195380.4	1207026.1	1137626.6	1108591.1	1088959.0	495853.8	473288.06	490169.88	487138.72	484383.38	483778.75	495853.8	473288.06	490169.88	487138.72	484383.38	483778.75	495853.8	473288.06	490169.88	487138.72	484383.38	483778.75	
sp|Q99871|HAUS7_HUMAN	Q99871	HAUS7_HUMAN	HAUS7	368	30.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	HAUS augmin-like complex subunit 7	1.0000	0.9990	7	37	37	37	6	8	7	6	5	5	6	8	7	6	5	5	6	8	7	6	5	5	178656.19	135655.05	188809.25	141484.95	119354.92	102786.55	178656.19	135655.05	188809.25	141484.95	119354.92	102786.55	178656.19	135655.05	188809.25	141484.95	119354.92	102786.55	74615.766	74468.85	71475.5	71070.73	82076.47	67773.4	74615.766	74468.85	71475.5	71070.73	82076.47	67773.4	74615.766	74468.85	71475.5	71070.73	82076.47	67773.4	
sp|Q99933|BAG1_HUMAN	Q99933	BAG1_HUMAN	BAG1	345	23.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	BAG family molecular chaperone regulator 1	1.0000	0.9990	6	41	41	41	5	8	5	12	7	4	5	8	5	12	7	4	5	8	5	12	7	4	183549.78	176586.4	174844.33	189687.4	179167.16	174608.31	183549.78	176586.4	174844.33	189687.4	179167.16	174608.31	183549.78	176586.4	174844.33	189687.4	179167.16	174608.31	68538.74	68068.914	69564.25	66818.28	65310.992	63482.207	68538.74	68068.914	69564.25	66818.28	65310.992	63482.207	68538.74	68068.914	69564.25	66818.28	65310.992	63482.207	
sp|Q99986|VRK1_HUMAN	Q99986	VRK1_HUMAN	VRK1	396	42.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase VRK1	1.0000	0.9990	12	91	91	91	15	14	13	15	18	16	15	14	13	15	18	16	15	14	13	15	18	16	585687.75	591625.9	594306.6	568218.3	685236.75	575506.75	585687.75	591625.9	594306.6	568218.3	685236.75	575506.75	585687.75	591625.9	594306.6	568218.3	685236.75	575506.75	252604.6	262954.38	252769.72	247981.64	257544.12	257698.56	252604.6	262954.38	252769.72	247981.64	257544.12	257698.56	252604.6	262954.38	252769.72	247981.64	257544.12	257698.56	
sp|Q99996|AKAP9_HUMAN	Q99996	AKAP9_HUMAN	AKAP9	3907	7.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	A-kinase anchor protein 9	1.0000	0.9990	27	86	86	86	19	18	19	10	12	8	19	18	19	10	12	8	19	18	19	10	12	8	220485.05	191936.27	222948.62	333529.25	359528.44	319392.53	220485.05	191936.27	222948.62	333529.25	359528.44	319392.53	220485.05	191936.27	222948.62	333529.25	359528.44	319392.53	157721.53	157396.38	155084.16	158529.5	158936.98	177506.62	157721.53	157396.38	155084.16	158529.5	158936.98	177506.62	157721.53	157396.38	155084.16	158529.5	158936.98	177506.62	
sp|Q9BPX3|CND3_HUMAN	Q9BPX3	CND3_HUMAN	NCAPG	1015	30.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Condensin complex subunit 3	1.0000	0.9990	22	185	185	185	31	30	30	35	27	32	31	30	30	35	27	32	31	30	30	35	27	32	459165.84	475892.06	477037.4	350074.88	390118.38	378328.3	459165.84	475892.06	477037.4	350074.88	390118.38	378328.3	459165.84	475892.06	477037.4	350074.88	390118.38	378328.3	176471.81	175921.48	173678.92	170975.08	166811.73	164995.34	176471.81	175921.48	173678.92	170975.08	166811.73	164995.34	176471.81	175921.48	173678.92	170975.08	166811.73	164995.34	
sp|Q9BPX5|ARP5L_HUMAN	Q9BPX5	ARP5L_HUMAN	ARPC5L	153	46.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin-related protein 2/3 complex subunit 5-like protein	1.0000	0.9990	4	28	28	28	5	5	3	6	4	5	5	5	3	6	4	5	5	5	3	6	4	5	315650.6	302635.4	298652.62	347754.0	347452.6	348955.56	315650.6	302635.4	298652.62	347754.0	347452.6	348955.56	315650.6	302635.4	298652.62	347754.0	347452.6	348955.56	142431.55	135336.98	134918.33	148451.97	153796.86	154372.19	142431.55	135336.98	134918.33	148451.97	153796.86	154372.19	142431.55	135336.98	134918.33	148451.97	153796.86	154372.19	
sp|Q9BPY3|F118B_HUMAN	Q9BPY3	F118B_HUMAN	FAM118B	351	15.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM118B	1.0000	0.9990	5	25	25	25	7	5	3	3	4	3	7	5	3	3	4	3	7	5	3	3	4	3	83889.54	83409.86	82798.73	77117.914	87259.17	76806.39	83889.54	83409.86	82798.73	77117.914	87259.17	76806.39	83889.54	83409.86	82798.73	77117.914	87259.17	76806.39	40105.86	40940.285	38515.242	40994.426	41561.06	36818.91	40105.86	40940.285	38515.242	40994.426	41561.06	36818.91	40105.86	40940.285	38515.242	40994.426	41561.06	36818.91	
sp|Q9BPZ3|PAIP2_HUMAN	Q9BPZ3	PAIP2_HUMAN	PAIP2	127	26.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Polyadenylate-binding protein-interacting protein 2	1.0000	0.9990	2	13	13	13	2	1	1	3	4	2	2	1	1	3	4	2	2	1	1	3	4	2	113733.97	134956.39	101741.71	73060.91	79114.8	58981.457	113733.97	134956.39	101741.71	73060.91	79114.8	58981.457	113733.97	134956.39	101741.71	73060.91	79114.8	58981.457	90606.44	103342.375	74869.94	60298.43	61393.797	42347.574	90606.44	103342.375	74869.94	60298.43	61393.797	42347.574	90606.44	103342.375	74869.94	60298.43	61393.797	42347.574	
sp|Q9BQ39|DDX50_HUMAN	Q9BQ39	DDX50_HUMAN	DDX50	737	32.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX50	1.0000	0.9990	20	151	114	163	25	24	31	26	19	26	22	19	23	18	14	18	27	26	33	28	21	28	1180609.8	1181025.1	1198685.8	1231892.0	1203579.2	1208855.6	291156.3	287291.62	292664.0	287191.56	273441.66	297532.9	1419347.8	1419062.5	1427810.4	1476928.0	1443900.2	1430585.0	843380.6	801211.2	832357.06	847789.3	814101.75	826476.94	134078.83	127397.54	131668.81	130897.09	125831.51	129507.64	837290.9	806250.06	832846.9	845075.44	817859.75	825642.5	
sp|Q9BQ52|RNZ2_HUMAN	Q9BQ52	RNZ2_HUMAN	ELAC2	826	44.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc phosphodiesterase ELAC protein 2	1.0000	0.9990	25	165	165	165	29	29	26	27	29	25	29	29	26	27	29	25	29	29	26	27	29	25	420299.16	416773.3	400748.75	424506.4	425190.12	463499.12	420299.16	416773.3	400748.75	424506.4	425190.12	463499.12	420299.16	416773.3	400748.75	424506.4	425190.12	463499.12	177658.84	184200.02	174795.3	176710.42	168163.45	173016.67	177658.84	184200.02	174795.3	176710.42	168163.45	173016.67	177658.84	184200.02	174795.3	176710.42	168163.45	173016.67	
sp|Q9BQ67|GRWD1_HUMAN	Q9BQ67	GRWD1_HUMAN	GRWD1	446	57.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutamate-rich WD repeat-containing protein 1	1.0000	0.9990	13	148	148	148	30	24	24	25	23	22	30	24	24	25	23	22	30	24	24	25	23	22	849566.9	876413.6	860494.4	766851.5	695319.25	658567.5	849566.9	876413.6	860494.4	766851.5	695319.25	658567.5	849566.9	876413.6	860494.4	766851.5	695319.25	658567.5	441284.34	457921.6	451985.28	410520.94	386097.2	358397.16	441284.34	457921.6	451985.28	410520.94	386097.2	358397.16	441284.34	457921.6	451985.28	410520.94	386097.2	358397.16	
sp|Q9BQ69|MACD1_HUMAN	Q9BQ69	MACD1_HUMAN	MACROD1	325	17.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP-ribose glycohydrolase MACROD1	1.0000	0.9990	5	37	37	37	8	6	6	6	4	7	8	6	6	6	4	7	8	6	6	6	4	7	179436.56	197109.28	199833.19	158931.08	127427.3	183419.77	179436.56	197109.28	199833.19	158931.08	127427.3	183419.77	179436.56	197109.28	199833.19	158931.08	127427.3	183419.77	86998.164	87494.02	87970.66	79529.555	73003.6	76560.086	86998.164	87494.02	87970.66	79529.555	73003.6	76560.086	86998.164	87494.02	87970.66	79529.555	73003.6	76560.086	
sp|Q9BQ75|CMS1_HUMAN	Q9BQ75	CMS1_HUMAN	CMSS1	279	30.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein CMSS1	1.0000	0.9990	7	22	22	22	3	1	3	5	6	4	3	1	3	5	6	4	3	1	3	5	6	4	123876.49	114696.54	131146.44	141574.33	130107.27	159546.23	123876.49	114696.54	131146.44	141574.33	130107.27	159546.23	123876.49	114696.54	131146.44	141574.33	130107.27	159546.23	45787.258	44307.836	49261.996	51619.555	46778.16	56437.01	45787.258	44307.836	49261.996	51619.555	46778.16	56437.01	45787.258	44307.836	49261.996	51619.555	46778.16	56437.01	
sp|Q9BQC3|DPH2_HUMAN	Q9BQC3	DPH2_HUMAN	DPH2	489	33.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	1.0000	0.9990	10	53	53	53	12	12	6	7	11	5	12	12	6	7	11	5	12	12	6	7	11	5	158742.31	160075.73	140463.45	141501.47	146411.31	135543.39	158742.31	160075.73	140463.45	141501.47	146411.31	135543.39	158742.31	160075.73	140463.45	141501.47	146411.31	135543.39	61665.3	62852.777	62546.22	58031.09	61405.152	54327.82	61665.3	62852.777	62546.22	58031.09	61405.152	54327.82	61665.3	62852.777	62546.22	58031.09	61405.152	54327.82	
sp|Q9BQE5|APOL2_HUMAN	Q9BQE5	APOL2_HUMAN	APOL2	337	9.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Apolipoprotein L2	1.0000	0.9989	3	9	9	9	2	2	1	2	1	1	2	2	1	2	1	1	2	2	1	2	1	1	93159.44	98450.94	50054.547	68655.22	68700.35	68923.76	93159.44	98450.94	50054.547	68655.22	68700.35	68923.76	93159.44	98450.94	50054.547	68655.22	68700.35	68923.76	39925.527	41665.305	40326.35	39693.848	38877.68	41004.95	39925.527	41665.305	40326.35	39693.848	38877.68	41004.95	39925.527	41665.305	40326.35	39693.848	38877.68	41004.95	
sp|Q9BQG0|MBB1A_HUMAN	Q9BQG0	MBB1A_HUMAN	MYBBP1A	1328	33.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myb-binding protein 1A	1.0000	0.9990	34	293	293	293	51	56	47	50	47	42	51	56	47	50	47	42	51	56	47	50	47	42	331270.44	523794.7	384548.6	547252.6	374230.8	551801.44	331270.44	523794.7	384548.6	547252.6	374230.8	551801.44	331270.44	523794.7	384548.6	547252.6	374230.8	551801.44	225751.28	226744.38	210757.25	213591.58	210545.16	202469.25	225751.28	226744.38	210757.25	213591.58	210545.16	202469.25	225751.28	226744.38	210757.25	213591.58	210545.16	202469.25	
sp|Q9BQG2|NUD12_HUMAN	Q9BQG2	NUD12_HUMAN	NUDT12	462	7.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	NAD-capped RNA hydrolase NUDT12	1.0000	0.9990	5	11	11	11	2	2	1	1	2	3	2	2	1	1	2	3	2	2	1	1	2	3	66102.07	90620.984	76955.375	75216.15	110427.03	113250.39	66102.07	90620.984	76955.375	75216.15	110427.03	113250.39	66102.07	90620.984	76955.375	75216.15	110427.03	113250.39	37082.67	37722.023	41929.605	41940.695	39148.68	39932.55	37082.67	37722.023	41929.605	41940.695	39148.68	39932.55	37082.67	37722.023	41929.605	41940.695	39148.68	39932.55	
sp|Q9BQP7|MGME1_HUMAN	Q9BQP7	MGME1_HUMAN	MGME1	344	19.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial genome maintenance exonuclease 1	1.0000	0.9990	6	21	21	21	6	2	3	3	3	4	6	2	3	3	3	4	6	2	3	3	3	4	84661.63	156942.5	175778.05	73093.48	156737.66	83458.516	84661.63	156942.5	175778.05	73093.48	156737.66	83458.516	84661.63	156942.5	175778.05	73093.48	156737.66	83458.516	57541.477	55942.98	60672.004	48315.312	55976.75	54384.535	57541.477	55942.98	60672.004	48315.312	55976.75	54384.535	57541.477	55942.98	60672.004	48315.312	55976.75	54384.535	
sp|Q9BQT8|ODC_HUMAN	Q9BQT8	ODC_HUMAN	SLC25A21	299	23.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial 2-oxodicarboxylate carrier	1.0000	0.9990	6	38	38	38	7	9	5	7	5	5	7	9	5	7	5	5	7	9	5	7	5	5	187890.19	179040.94	183180.53	195935.0	181822.83	188220.53	187890.19	179040.94	183180.53	195935.0	181822.83	188220.53	187890.19	179040.94	183180.53	195935.0	181822.83	188220.53	90217.914	90307.28	84034.234	90812.94	86678.89	89189.35	90217.914	90307.28	84034.234	90812.94	86678.89	89189.35	90217.914	90307.28	84034.234	90812.94	86678.89	89189.35	
sp|Q9BR61|ACBD6_HUMAN	Q9BR61	ACBD6_HUMAN	ACBD6	282	15.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acyl-CoA-binding domain-containing protein 6	1.0000	0.9990	4	24	24	24	4	5	4	3	5	3	4	5	4	3	5	3	4	5	4	3	5	3	184071.44	175416.5	150617.38	159845.78	167200.58	162136.77	184071.44	175416.5	150617.38	159845.78	167200.58	162136.77	184071.44	175416.5	150617.38	159845.78	167200.58	162136.77	74925.82	72191.914	68096.77	72901.72	70663.95	70836.305	74925.82	72191.914	68096.77	72901.72	70663.95	70836.305	74925.82	72191.914	68096.77	72901.72	70663.95	70836.305	
sp|Q9BR76|COR1B_HUMAN	Q9BR76	COR1B_HUMAN	CORO1B	489	26.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coronin-1B	1.0000	0.9990	9	67	67	67	12	11	10	11	12	11	12	11	10	11	12	11	12	11	10	11	12	11	597184.5	612908.7	641623.5	663687.1	665066.06	627290.75	597184.5	612908.7	641623.5	663687.1	665066.06	627290.75	597184.5	612908.7	641623.5	663687.1	665066.06	627290.75	235194.86	243127.42	239919.97	248214.27	256499.89	242389.0	235194.86	243127.42	239919.97	248214.27	256499.89	242389.0	235194.86	243127.42	239919.97	248214.27	256499.89	242389.0	
sp|Q9BRA2|TXD17_HUMAN	Q9BRA2	TXD17_HUMAN	TXNDC17	123	54.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thioredoxin domain-containing protein 17	1.0000	0.9990	6	61	61	61	11	11	8	9	11	11	11	11	8	9	11	11	11	11	8	9	11	11	1498029.0	1524477.1	1466349.0	2717448.8	2769113.2	2737219.0	1498029.0	1524477.1	1466349.0	2717448.8	2769113.2	2737219.0	1498029.0	1524477.1	1466349.0	2717448.8	2769113.2	2737219.0	937687.5	944556.06	997573.44	1148901.5	1130162.9	1114958.1	937687.5	944556.06	997573.44	1148901.5	1130162.9	1114958.1	937687.5	944556.06	997573.44	1148901.5	1130162.9	1114958.1	
sp|Q9BRD0|BUD13_HUMAN	Q9BRD0	BUD13_HUMAN	BUD13	619	6.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	BUD13 homolog	1.0000	0.9990	4	16	16	16	3	2	3	3	2	3	3	2	3	3	2	3	3	2	3	3	2	3	98130.82	106111.58	96984.8	94854.72	90189.41	88435.25	98130.82	106111.58	96984.8	94854.72	90189.41	88435.25	98130.82	106111.58	96984.8	94854.72	90189.41	88435.25	69270.42	72900.89	68337.49	64503.082	65375.918	64868.57	69270.42	72900.89	68337.49	64503.082	65375.918	64868.57	69270.42	72900.89	68337.49	64503.082	65375.918	64868.57	
sp|Q9BRF8|CPPED_HUMAN	Q9BRF8	CPPED_HUMAN	CPPED1	314	42.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase CPPED1	1.0000	0.9990	9	45	45	45	8	10	10	8	4	5	8	10	10	8	4	5	8	10	10	8	4	5	244688.25	241773.38	241121.75	251567.55	242815.28	257185.34	244688.25	241773.38	241121.75	251567.55	242815.28	257185.34	244688.25	241773.38	241121.75	251567.55	242815.28	257185.34	134582.25	141782.11	127428.336	129060.67	123765.73	132888.78	134582.25	141782.11	127428.336	129060.67	123765.73	132888.78	134582.25	141782.11	127428.336	129060.67	123765.73	132888.78	
sp|Q9BRG1|VPS25_HUMAN	Q9BRG1	VPS25_HUMAN	VPS25	176	34.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein-sorting-associated protein 25	1.0000	0.9990	5	34	34	34	5	6	7	4	5	7	5	6	7	4	5	7	5	6	7	4	5	7	169187.94	160941.78	176113.22	184104.81	197234.97	195207.48	169187.94	160941.78	176113.22	184104.81	197234.97	195207.48	169187.94	160941.78	176113.22	184104.81	197234.97	195207.48	69836.82	77851.89	78656.04	76822.43	81089.164	80624.39	69836.82	77851.89	78656.04	76822.43	81089.164	80624.39	69836.82	77851.89	78656.04	76822.43	81089.164	80624.39	
sp|Q9BRJ2|RM45_HUMAN	Q9BRJ2	RM45_HUMAN	MRPL45	306	38.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	39S ribosomal protein L45, mitochondrial	1.0000	0.9990	9	62	62	62	9	9	14	11	9	10	9	9	14	11	9	10	9	9	14	11	9	10	2009959.5	1904559.8	1824376.0	1175653.1	1270732.5	1243230.0	2009959.5	1904559.8	1824376.0	1175653.1	1270732.5	1243230.0	2009959.5	1904559.8	1824376.0	1175653.1	1270732.5	1243230.0	1427617.1	1385501.8	1415998.0	1365932.9	1352488.5	1334272.9	1427617.1	1385501.8	1415998.0	1365932.9	1352488.5	1334272.9	1427617.1	1385501.8	1415998.0	1365932.9	1352488.5	1334272.9	
sp|Q9BRK5|CAB45_HUMAN	Q9BRK5	CAB45_HUMAN	SDF4	362	23.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	45 kDa calcium-binding protein	1.0000	0.9990	8	61	61	61	9	11	8	10	10	13	9	11	8	10	10	13	9	11	8	10	10	13	179023.58	173301.03	183415.19	168575.17	160091.94	175209.62	179023.58	173301.03	183415.19	168575.17	160091.94	175209.62	179023.58	173301.03	183415.19	168575.17	160091.94	175209.62	77258.98	77033.82	75936.55	75080.8	71884.445	75422.914	77258.98	77033.82	75936.55	75080.8	71884.445	75422.914	77258.98	77033.82	75936.55	75080.8	71884.445	75422.914	
sp|Q9BRP1|PDD2L_HUMAN	Q9BRP1	PDD2L_HUMAN	PDCD2L	358	31.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Programmed cell death protein 2-like	1.0000	0.9990	7	59	59	59	12	7	10	11	9	10	12	7	10	11	9	10	12	7	10	11	9	10	217196.88	220585.06	197653.44	251124.31	219224.42	204052.02	217196.88	220585.06	197653.44	251124.31	219224.42	204052.02	217196.88	220585.06	197653.44	251124.31	219224.42	204052.02	98568.7	95108.99	94487.2	104178.71	107703.336	103012.16	98568.7	95108.99	94487.2	104178.71	107703.336	103012.16	98568.7	95108.99	94487.2	104178.71	107703.336	103012.16	
sp|Q9BRP4|PAAF1_HUMAN	Q9BRP4	PAAF1_HUMAN	PAAF1	392	18.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasomal ATPase-associated factor 1	1.0000	0.9990	7	51	51	51	8	11	8	8	7	9	8	11	8	8	7	9	8	11	8	8	7	9	247689.5	263108.5	245869.38	242601.78	254321.38	215783.92	247689.5	263108.5	245869.38	242601.78	254321.38	215783.92	247689.5	263108.5	245869.38	242601.78	254321.38	215783.92	90865.68	96299.055	90422.195	88295.6	94829.44	84625.74	90865.68	96299.055	90422.195	88295.6	94829.44	84625.74	90865.68	96299.055	90422.195	88295.6	94829.44	84625.74	
sp|Q9BRP8|PYM1_HUMAN	Q9BRP8	PYM1_HUMAN	PYM1	204	43.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Partner of Y14 and mago	1.0000	0.9990	6	39	39	39	6	6	5	9	6	7	6	6	5	9	6	7	6	6	5	9	6	7	267709.44	277507.38	278095.34	279966.75	256030.34	243738.22	267709.44	277507.38	278095.34	279966.75	256030.34	243738.22	267709.44	277507.38	278095.34	279966.75	256030.34	243738.22	103884.78	100534.62	99794.77	104675.28	100503.73	97724.78	103884.78	100534.62	99794.77	104675.28	100503.73	97724.78	103884.78	100534.62	99794.77	104675.28	100503.73	97724.78	
