Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Spectral Count	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Spectral Count	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Spectral Count	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Spectral Count	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Spectral Count	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Spectral Count	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Spectral Count	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Spectral Count	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Unique Spectral Count	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Unique Spectral Count	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Unique Spectral Count	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Unique Spectral Count	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Unique Spectral Count	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Unique Spectral Count	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Unique Spectral Count	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Unique Spectral Count	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Unique Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Total Spectral Count	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Total Spectral Count	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Total Spectral Count	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Total Spectral Count	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Total Spectral Count	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Total Spectral Count	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Total Spectral Count	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Total Spectral Count	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Total Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Intensity	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Intensity	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Intensity	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Intensity	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Intensity	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Intensity	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Intensity	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Intensity	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Intensity	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Unique Intensity	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Unique Intensity	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Unique Intensity	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Unique Intensity	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Unique Intensity	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Unique Intensity	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Unique Intensity	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Unique Intensity	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Unique Intensity	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Total Intensity	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Total Intensity	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Total Intensity	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Total Intensity	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Total Intensity	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Total Intensity	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Total Intensity	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Total Intensity	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Total Intensity	Indistinguishable Proteins
sp|Q9UN86|G3BP2_HUMAN	Q9UN86	G3BP2_HUMAN	G3BP2	482	12.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras GTPase-activating protein-binding protein 2	1.0000	0.9990	6	25	21	25	0	0	0	7	4	1	7	3	3	0	0	0	6	4	1	5	2	3	0	0	0	7	4	1	7	3	3	0.0	0.0	0.0	1.61163936E8	9.334516E7	9.1802896E7	1.5345232E8	1.59142576E8	8.4067032E7	0.0	0.0	0.0	1.15961928E8	6.57536E7	6.5827788E7	1.088088E8	1.20163944E8	5.8832452E7	0.0	0.0	0.0	1.61163936E8	9.334516E7	9.1802896E7	1.5345232E8	1.59142576E8	8.4067032E7	
sp|Q9UQ35|SRRM2_HUMAN	Q9UQ35	SRRM2_HUMAN	SRRM2	2752	11.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/arginine repetitive matrix protein 2	1.0000	0.9990	24	70	70	70	1	1	1	10	8	3	11	18	17	1	1	1	10	8	3	11	18	17	1	1	1	10	8	3	11	18	17	2.921747E7	2.9147384E7	1.3917218E7	2.57472E8	2.66403744E8	1.57767184E8	3.23073088E8	2.7003536E8	2.66585008E8	2.921747E7	2.9147384E7	1.3917218E7	2.57472E8	2.66403744E8	1.57767184E8	3.23073088E8	2.7003536E8	2.66585008E8	2.921747E7	2.9147384E7	1.3917218E7	2.57472E8	2.66403744E8	1.57767184E8	3.23073088E8	2.7003536E8	2.66585008E8	
sp|Q9Y2K7|KDM2A_HUMAN	Q9Y2K7	KDM2A_HUMAN	KDM2A	1162	3.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysine-specific demethylase 2A	1.0000	0.9990	2	13	13	13	0	0	0	3	2	1	4	2	1	0	0	0	3	2	1	4	2	1	0	0	0	3	2	1	4	2	1	0.0	432678.56	0.0	4.0969828E7	2.4323354E7	1.8017348E7	4.6630112E7	3.6609932E7	2.0027604E7	0.0	432678.56	0.0	4.0969828E7	2.4323354E7	1.8017348E7	4.6630112E7	3.6609932E7	2.0027604E7	0.0	432678.56	0.0	4.0969828E7	2.4323354E7	1.8017348E7	4.6630112E7	3.6609932E7	2.0027604E7	
sp|Q9Y2R4|DDX52_HUMAN	Q9Y2R4	DDX52_HUMAN	DDX52	599	7.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX52	1.0000	0.9990	5	17	12	17	0	0	0	4	1	0	5	4	3	0	0	0	4	0	0	3	4	1	0	0	0	4	1	0	5	4	3	4085556.2	4400791.5	0.0	1.61014832E8	3.4446164E7	7.2630736E7	1.41637664E8	1.36560576E8	9.593984E7	4085556.2	4400791.5	0.0	1.61014832E8	3.4446164E7	7.2630736E7	1.41637664E8	1.36560576E8	9.593984E7	4085556.2	4400791.5	0.0	1.61014832E8	3.4446164E7	7.2630736E7	1.41637664E8	1.36560576E8	9.593984E7	
sp|Q9Y2X3|NOP58_HUMAN	Q9Y2X3	NOP58_HUMAN	NOP58	529	16.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar protein 58	1.0000	0.9990	8	49	49	49	0	0	0	10	6	3	11	11	8	0	0	0	10	6	3	11	11	8	0	0	0	10	6	3	11	11	8	8048958.5	6469794.0	3.0391226E7	2.77566176E8	2.10316608E8	1.80409392E8	3.848144E8	3.15326464E8	2.15847856E8	8048958.5	6469794.0	3.0391226E7	2.77566176E8	2.10316608E8	1.80409392E8	3.848144E8	3.15326464E8	2.15847856E8	8048958.5	6469794.0	3.0391226E7	2.77566176E8	2.10316608E8	1.80409392E8	3.848144E8	3.15326464E8	2.15847856E8	
sp|Q9Y3B3|TMED7_HUMAN	Q9Y3B3	TMED7_HUMAN	TMED7	224	13.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane emp24 domain-containing protein 7	1.0000	0.9990	5	14	14	14	9	2	3	0	0	0	0	0	0	9	2	3	0	0	0	0	0	0	9	2	3	0	0	0	0	0	0	5.278554E7	3.359024E7	4.8308412E7	1.2344543E7	6.3540708E7	4.6543512E7	9677131.0	2.3465968E7	2.9196432E7	5.278554E7	3.359024E7	4.8308412E7	1.2344543E7	6.3540708E7	4.6543512E7	9677131.0	2.3465968E7	2.9196432E7	5.278554E7	3.359024E7	4.8308412E7	1.2344543E7	6.3540708E7	4.6543512E7	9677131.0	2.3465968E7	2.9196432E7	
sp|Q9Y3T9|NOC2L_HUMAN	Q9Y3T9	NOC2L_HUMAN	NOC2L	749	4.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar complex protein 2 homolog	1.0000	0.9990	3	14	14	14	0	0	0	2	3	1	2	4	2	0	0	0	2	3	1	2	4	2	0	0	0	2	3	1	2	4	2	0.0	0.0	0.0	2.7504196E7	6882451.5	1.4684817E7	3.6280788E7	3.8239728E7	2.552334E7	0.0	0.0	0.0	2.7504196E7	6882451.5	1.4684817E7	3.6280788E7	3.8239728E7	2.552334E7	0.0	0.0	0.0	2.7504196E7	6882451.5	1.4684817E7	3.6280788E7	3.8239728E7	2.552334E7	
sp|Q9Y4A5|TRRAP_HUMAN	Q9Y4A5	TRRAP_HUMAN	TRRAP	3859	1.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transformation/transcription domain-associated protein	1.0000	0.9990	5	6	6	6	0	0	0	4	0	0	0	0	2	0	0	0	4	0	0	0	0	2	0	0	0	4	0	0	0	0	2	0.0	4455081.0	0.0	8564114.0	7006347.0	0.0	6791084.0	5859838.0	1.1301643E7	0.0	4455081.0	0.0	8564114.0	7006347.0	0.0	6791084.0	5859838.0	1.1301643E7	0.0	4455081.0	0.0	8564114.0	7006347.0	0.0	6791084.0	5859838.0	1.1301643E7	
sp|Q9Y520|PRC2C_HUMAN	Q9Y520	PRC2C_HUMAN	PRRC2C	2896	7.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein PRRC2C	1.0000	0.9990	14	59	49	59	0	0	0	13	8	5	9	20	4	0	0	0	11	6	3	8	18	3	0	0	0	13	8	5	9	20	4	1691398.1	1139993.5	0.0	2.16009216E8	1.7505264E8	1.80001072E8	2.62721904E8	2.9003456E8	1.44036736E8	1691398.1	1139993.5	0.0	2.02836864E8	1.65861536E8	1.6515624E8	2.5120464E8	2.7940992E8	1.2568596E8	1691398.1	1139993.5	0.0	2.16009216E8	1.7505264E8	1.80001072E8	2.62721904E8	2.9003456E8	1.44036736E8	
sp|Q9Y5Q8|TF3C5_HUMAN	Q9Y5Q8	TF3C5_HUMAN	GTF3C5	519	6.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	General transcription factor 3C polypeptide 5	1.0000	0.9990	2	5	5	5	0	0	0	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1	0.0	0.0	0.0	4.74516E7	2.646799E7	1.4986468E7	5.57638E7	4.9876412E7	2.9965656E7	0.0	0.0	0.0	4.74516E7	2.646799E7	1.4986468E7	5.57638E7	4.9876412E7	2.9965656E7	0.0	0.0	0.0	4.74516E7	2.646799E7	1.4986468E7	5.57638E7	4.9876412E7	2.9965656E7	
sp|Q9Y5Q9|TF3C3_HUMAN	Q9Y5Q9	TF3C3_HUMAN	GTF3C3	886	3.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	General transcription factor 3C polypeptide 3	1.0000	0.9990	3	5	5	5	0	0	0	0	1	0	2	2	0	0	0	0	0	1	0	2	2	0	0	0	0	0	1	0	2	2	0	0.0	0.0	0.0	5.8164056E7	1.8352228E7	1.6843572E7	6.9110968E7	6.7340976E7	3.8220404E7	0.0	0.0	0.0	5.8164056E7	1.8352228E7	1.6843572E7	6.9110968E7	6.7340976E7	3.8220404E7	0.0	0.0	0.0	5.8164056E7	1.8352228E7	1.6843572E7	6.9110968E7	6.7340976E7	3.8220404E7	
sp|Q9Y646|CBPQ_HUMAN	Q9Y646	CBPQ_HUMAN	CPQ	472	11.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carboxypeptidase Q	1.0000	0.9990	5	56	56	56	6	8	8	4	7	7	4	4	8	6	8	8	4	7	7	4	4	8	6	8	8	4	7	7	4	4	8	3.5947616E8	3.38455424E8	3.81688736E8	1.98452736E8	4.03651648E8	2.94762912E8	2.28026432E8	2.22086544E8	3.86487168E8	3.5947616E8	3.38455424E8	3.81688736E8	1.98452736E8	4.03651648E8	2.94762912E8	2.28026432E8	2.22086544E8	3.86487168E8	3.5947616E8	3.38455424E8	3.81688736E8	1.98452736E8	4.03651648E8	2.94762912E8	2.28026432E8	2.22086544E8	3.86487168E8	
sp|Q9Y6K1|DNM3A_HUMAN	Q9Y6K1	DNM3A_HUMAN	DNMT3A	912	7.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA (cytosine-5)-methyltransferase 3A	1.0000	0.9990	5	10	7	10	0	0	0	3	0	0	4	3	0	0	0	0	2	0	0	3	2	0	0	0	0	3	0	0	4	3	0	0.0	0.0	0.0	1.47257872E8	6.7307744E7	4.6821312E7	1.64124672E8	1.64740048E8	9.6065336E7	0.0	0.0	0.0	1.1368184E8	6.7307744E7	4.6821312E7	1.27838136E8	1.29164112E8	7.0880416E7	0.0	0.0	0.0	1.47257872E8	6.7307744E7	4.6821312E7	1.64124672E8	1.64740048E8	9.6065336E7	
sp|B2RPK0|HGB1A_HUMAN	B2RPK0	HGB1A_HUMAN	HMGB1P1	211	14.70	Homo sapiens OX=9606	5:Protein uncertain	Putative high mobility group protein B1-like 1	1.0000	0.9990	3	13	0	13	0	0	0	1	2	3	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	1	5	1.0968766E7	6704926.5	6262023.0	1.02839976E8	9.1318968E7	1.18862336E8	1.16183152E8	8.8865888E7	1.10546176E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0968766E7	6704926.5	6262023.0	1.02839976E8	9.1318968E7	1.18862336E8	1.16183152E8	8.8865888E7	1.10546176E8	sp|P09429|HMGB1_HUMAN
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	56.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX3X	1.0000	0.9990	36	284	100	326	1	0	0	57	38	38	53	57	40	0	0	0	21	14	12	19	20	14	4	1	0	65	43	43	60	64	46	2.723584E7	3.0807506E7	2.7559086E7	1.33931302E9	6.7031296E8	7.9384026E8	1.51584102E9	1.25192499E9	6.8217459E8	1.1593815E7	1.2855449E7	1.2203494E7	8.8687443E8	4.53102752E8	4.32253152E8	9.3448794E8	8.2387552E8	4.4956256E8	4.6490968E7	5.0314812E7	4.9071348E7	1.64386637E9	8.8094509E8	1.01971149E9	1.8921961E9	1.47670246E9	8.8767386E8	
sp|O14647|CHD2_HUMAN	O14647	CHD2_HUMAN	CHD2	1828	1.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chromodomain-helicase-DNA-binding protein 2	1.0000	0.9990	5	13	3	13	0	2	0	1	1	0	3	5	1	0	0	0	0	0	0	0	2	1	0	2	0	1	1	0	3	5	1	3.9337728E7	3.516246E7	4.4477976E7	1.0413336E8	1.2952164E8	9.448332E7	1.06381536E8	9.6631696E7	9.6237808E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9337728E7	3.516246E7	4.4477976E7	1.0413336E8	1.2952164E8	9.448332E7	1.06381536E8	9.6631696E7	9.6237808E7	
sp|Q9P2D1|CHD7_HUMAN	Q9P2D1	CHD7_HUMAN	CHD7	2997	1.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chromodomain-helicase-DNA-binding protein 7	1.0000	0.9990	3	7	7	9	0	0	0	2	1	0	1	2	1	0	0	0	2	1	0	1	2	1	0	0	0	2	1	0	2	3	1	0.0	0.0	0.0	4.5866672E7	3.489344E7	1.2695594E7	4.7975968E7	2.5461812E7	1.7824892E7	0.0	0.0	0.0	4.5866672E7	3.489344E7	1.2695594E7	4.7975968E7	2.5461812E7	1.7824892E7	0.0	0.0	0.0	9.2921152E7	8.3401088E7	4.6783264E7	9.502216E7	6.7640904E7	5.9473144E7	
sp|O43143|DHX15_HUMAN	O43143	DHX15_HUMAN	DHX15	795	33.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	1.0000	0.9990	29	219	207	219	0	0	0	37	30	31	39	36	46	0	0	0	35	28	29	37	34	44	0	0	0	37	30	31	39	36	46	9196510.0	2.8035796E7	4.4575936E7	6.8371616E8	6.2699123E8	4.70682784E8	9.1989062E8	6.6752282E8	6.4034726E8	9196510.0	2.8035796E7	4.4575936E7	6.8371616E8	6.2699123E8	4.70682784E8	9.1989062E8	6.6752282E8	6.4034726E8	9196510.0	2.8035796E7	4.4575936E7	6.8371616E8	6.2699123E8	4.70682784E8	9.1989062E8	6.6752282E8	6.4034726E8	
sp|O43251|RFOX2_HUMAN	O43251	RFOX2_HUMAN	RBFOX2	390	14.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA binding protein fox-1 homolog 2	1.0000	0.9990	4	16	2	16	0	1	0	4	1	0	4	5	1	0	0	0	1	0	0	1	0	0	0	1	0	4	1	0	4	5	1	8068247.0	2.0796584E7	2.5632488E7	1.01253152E8	8.778136E7	8.023884E7	1.30575464E8	7.6046416E7	7.45314E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8068247.0	2.0796584E7	2.5632488E7	1.01253152E8	8.778136E7	8.023884E7	1.30575464E8	7.6046416E7	7.45314E7	
sp|O60264|SMCA5_HUMAN	O60264	SMCA5_HUMAN	SMARCA5	1052	52.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	1.0000	0.9990	55	481	295	481	7	5	4	87	61	49	103	91	74	5	4	2	53	36	32	67	56	40	7	5	4	87	61	49	103	91	74	8.0143968E7	9.346788E7	1.0303368E8	1.20582157E9	7.8952486E8	6.1521664E8	1.38527027E9	1.3025623E9	7.9185805E8	6.6138312E7	8.1329352E7	7.7745912E7	1.07359827E9	7.1925594E8	5.4901254E8	1.2511744E9	1.08768205E9	6.9478669E8	8.0143968E7	9.346788E7	1.0303368E8	1.20582157E9	7.8952486E8	6.1521664E8	1.38527027E9	1.3025623E9	7.9185805E8	
sp|P22234|PUR6_HUMAN	P22234	PUR6_HUMAN	PAICS	425	2.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Multifunctional protein ADE2	0.9771	0.9990	2	1	1	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	2	2	2	0.0	0.0	0.0	2.1261786E7	0.0	2.85351E7	2.3605432E7	2.1752424E7	1.3125872E7	0.0	0.0	0.0	2.1261786E7	0.0	2.85351E7	2.3605432E7	2.1752424E7	1.3125872E7	5513758.0	0.0	0.0	5.9705E7	3.0237E7	4.8068752E7	6.5759412E7	5.4175184E7	4.3715208E7	
sp|O60814|H2B1K_HUMAN	O60814	H2B1K_HUMAN	H2BC12	126	67.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H2B type 1-K	1.0000	0.9990	12	44	0	226	6	5	3	5	4	5	6	5	5	0	0	0	0	0	0	0	0	0	23	21	17	30	19	31	28	28	29	1.73399888E8	1.28400008E8	9.3990512E7	3.9904848E8	2.90261312E8	5.8734285E8	6.525575E8	4.60859776E8	4.87418688E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03644954E9	1.90155776E9	1.18084646E9	5.1736038E9	3.12179789E9	5.9444659E9	8.6036726E9	5.7919642E9	5.4018662E9	sp|P62807|H2B1C_HUMAN
sp|Q5QNW6|H2B2F_HUMAN	Q5QNW6	H2B2F_HUMAN	H2BC18	126	67.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H2B type 2-F	1.0000	0.9990	12	4	0	221	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	21	19	17	30	19	31	29	27	28	0.0	0.0	0.0	2.4388912E7	1.2953397E7	2.1105164E7	2.5075688E7	3.1181696E7	2.9649318E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03644954E9	1.90155776E9	1.18084646E9	5.1736038E9	3.12179789E9	5.9444659E9	8.6036726E9	5.7919642E9	5.4018662E9	sp|Q93079|H2B1H_HUMAN
sp|P33778|H2B1B_HUMAN	P33778	H2B1B_HUMAN	H2BC3	126	67.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H2B type 1-B	1.0000	0.9982	12	1	0	219	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	19	16	28	19	32	28	27	30	1027077.8	1881003.5	0.0	6575860.5	2754803.5	7322898.0	8493156.0	7491139.5	2963589.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99657728E9	1.87711642E9	1.15295142E9	5.0902712E9	3.02849152E9	5.7839063E9	8.4510351E9	5.7282888E9	5.2419727E9	
sp|P06899|H2B1J_HUMAN	P06899	H2B1J_HUMAN	H2BC11	126	0.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H2B type 1-J	0.0383	0.9990	12	218	0	227	20	19	16	28	19	32	28	26	30	0	0	0	0	0	0	0	0	0	22	21	16	29	19	33	28	28	31	1.99657728E9	1.87711642E9	1.15295142E9	5.0902712E9	3.02849152E9	5.7839063E9	8.4510351E9	5.7282888E9	5.2419727E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99657728E9	1.87711642E9	1.15295142E9	5.0902712E9	3.02849152E9	5.7839063E9	8.4510351E9	5.7282888E9	5.2419727E9	sp|Q16778|H2B2E_HUMAN
sp|O75152|ZC11A_HUMAN	O75152	ZC11A_HUMAN	ZC3H11A	810	11.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger CCCH domain-containing protein 11A	1.0000	0.9990	6	15	10	15	0	0	0	3	0	0	4	6	2	0	0	0	2	0	0	4	3	1	0	0	0	3	0	0	4	6	2	5362122.0	0.0	0.0	1.79461584E8	1.39120064E8	9.7271408E7	1.95116528E8	1.90267392E8	1.29264E8	0.0	0.0	0.0	1.03280752E8	8.3893136E7	6.4275264E7	1.11644544E8	1.08351616E8	8.3128144E7	5362122.0	0.0	0.0	1.79461584E8	1.39120064E8	9.7271408E7	1.95116528E8	1.90267392E8	1.29264E8	
sp|O75364|PITX3_HUMAN	O75364	PITX3_HUMAN	PITX3	302	12.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pituitary homeobox 3	1.0000	0.9990	3	8	6	8	0	0	0	2	1	0	2	2	1	0	0	0	2	0	0	1	2	1	0	0	0	2	1	0	2	2	1	2568547.0	1999518.1	0.0	1.0478744E8	1.2896228E8	1.43075392E8	2.088804E8	1.2869799E7	1.1482935E7	0.0	0.0	0.0	2.1879406E7	1.0730629E7	1.0865072E7	2.0920898E7	1.2869799E7	1.1482935E7	2568547.0	1999518.1	0.0	1.0478744E8	1.2896228E8	1.43075392E8	2.088804E8	1.2869799E7	1.1482935E7	
sp|O75400|PR40A_HUMAN	O75400	PR40A_HUMAN	PRPF40A	957	20.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pre-mRNA-processing factor 40 homolog A	1.0000	0.9990	19	164	158	164	8	9	10	24	23	16	28	20	26	6	7	8	24	23	16	28	20	26	8	9	10	24	23	16	28	20	26	1.63778144E8	1.75519216E8	2.34300928E8	4.63968416E8	5.28928256E8	3.86211776E8	6.4223424E8	5.5351379E8	5.6575437E8	1.63778144E8	1.75519216E8	2.34300928E8	4.63968416E8	5.28928256E8	3.86211776E8	6.4223424E8	5.5351379E8	5.6575437E8	1.63778144E8	1.75519216E8	2.34300928E8	4.63968416E8	5.28928256E8	3.86211776E8	6.4223424E8	5.5351379E8	5.6575437E8	
sp|O94905|ERLN2_HUMAN	O94905	ERLN2_HUMAN	ERLIN2	339	19.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Erlin-2	1.0000	0.9990	6	22	3	22	1	1	0	1	3	4	1	3	8	0	0	0	0	0	0	1	0	2	1	1	0	1	3	4	1	3	8	5.1941232E7	4.5603568E7	5.1245236E7	1.50800576E8	1.58561888E8	1.83642368E8	1.58710656E8	1.3047264E8	2.17097232E8	2.1752224E7	8638183.0	1.0915822E7	4.1951884E7	5.7742136E7	5.782704E7	4.9252456E7	4.6837688E7	7.9709256E7	5.1941232E7	4.5603568E7	5.1245236E7	1.50800576E8	1.58561888E8	1.83642368E8	1.58710656E8	1.3047264E8	2.17097232E8	
sp|O95239|KIF4A_HUMAN	O95239	KIF4A_HUMAN	KIF4A	1232	14.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chromosome-associated kinesin KIF4A	1.0000	0.9990	19	67	41	67	0	1	0	14	5	4	19	19	5	0	0	0	9	3	2	14	11	2	0	1	0	14	5	4	19	19	5	5880771.0	5032234.0	6456053.0	2.6728816E8	1.46213552E8	1.37786672E8	2.92798048E8	2.88872032E8	1.52074768E8	2209497.8	1242217.2	1935063.8	2.3513712E8	1.24856456E8	1.2385556E8	2.52679296E8	2.59751952E8	1.14821432E8	5880771.0	5032234.0	6456053.0	2.6728816E8	1.46213552E8	1.37786672E8	2.92798048E8	2.88872032E8	1.52074768E8	
sp|O95573|ACSL3_HUMAN	O95573	ACSL3_HUMAN	ACSL3	720	36.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fatty acid CoA ligase Acsl3	1.0000	0.9990	20	133	121	133	1	1	0	17	23	25	17	12	37	1	1	0	15	21	23	15	10	35	1	1	0	17	23	25	17	12	37	3.3462708E7	1.7883396E7	1.6674853E7	3.56537056E8	3.86873568E8	4.24842784E8	3.60366176E8	2.56536848E8	4.66240384E8	3.6727728E7	2.4592428E7	2.2547688E7	3.28349664E8	3.79318528E8	4.20929632E8	3.43698592E8	2.35764384E8	4.37166048E8	3.3462708E7	1.7883396E7	1.6674853E7	3.56537056E8	3.86873568E8	4.24842784E8	3.60366176E8	2.56536848E8	4.66240384E8	
sp|O95793|STAU1_HUMAN	O95793	STAU1_HUMAN	STAU1	577	14.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Double-stranded RNA-binding protein Staufen homolog 1	1.0000	0.9990	6	26	24	26	0	0	0	7	1	1	8	7	2	0	0	0	7	1	1	8	6	1	0	0	0	7	1	1	8	7	2	0.0	0.0	0.0	2.14354976E8	1.05590912E8	1.17453264E8	2.37685024E8	2.1225752E8	1.06451696E8	0.0	0.0	0.0	1.86481536E8	7.3307728E7	8.5983424E7	2.08251584E8	2.06481568E8	7.048972E7	0.0	0.0	0.0	2.14354976E8	1.05590912E8	1.17453264E8	2.37685024E8	2.1225752E8	1.06451696E8	
